source_language,target_language,source,reference,doc_id,client_id,sender
en,fr,8) Add your book to #PRS_ORG#.,8) Ajoutez votre livre à #PRS_ORG#.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,Go to #PRS_ORG# > File > Add to Library.,Allez à #PRS_ORG# &gt; Fichier &gt; Ajouter à la bibliothèque.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,Add your book to your #PRS_ORG# library.,Ajoutez votre livre à votre bibliothèque #PRS_ORG#.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,9) Copybook from #PRS_ORG# to the e-reader.,9) Copiez le livre de #PRS_ORG# à la liseuse.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,Right-click > copy to the device.,Cliquez avec le bouton droit &gt; copier sur l'appareil.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,> Check that you can read open the book in while in #PRS_ORG# > your e-reader,&gt; Vérifiez que vous pouvez lire le livre en l'ouvrant dans #PRS_ORG# &gt; votre liseuse,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
en,fr,3.00 link here,3.00 lien ici,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
fr,en,D'accord.,Okay.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
fr,en,Merci.,Thank you.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,customer
en,fr,You are welcome.,Je vous en prie.,en_fr_#CLIENT-02#_default020-12-20-35,#CLIENT-02#,agent
fr,en,"Bonjour, j'essaie d'échanger ma carte-cadeau et ça écrit Oups, réessayez plus tard.","Hello, I'm trying to redeem my gift card and it says ""Oops, try again later"".",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
fr,en,#EMAIL#,#EMAIL#,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
fr,en,How to Cook everything,How to Cook everything,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
en,fr,Thank you for the information.,Merci pour ces informations.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,I will be more than happy to assist you.,Je serai ravi de vous aider.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
fr,en,"J'essaie d'échanger ma carte cadeau mais ça ne fonctionne pas, ça écrit Oups, réessayez plus tard","I'm trying to redeem my gift card but it doesn't work, it says ""Oops, try again later"".",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
en,fr,"Thank you, in order to help you can you please sign in in your account in a incognito mode ?","Merci. Afin de vous aider, pouvez-vous vous connecter à votre compte en mode de navigation privée ?",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,it would be private mode in #PRS_ORG#,il s'agirait d'un mode privé dans #PRS_ORG#.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
fr,en,ok,Ok.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
en,fr,Thank you so much,Merci beaucoup.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
fr,en,c'est fait,Done.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
en,fr,"Thank you, now please sign in with your account on the #PRS_ORG# and try to redeem the gift card","Merci, connectez-vous maintenant avec votre compte sur #PRS_ORG# et essayez d'utiliser la carte-cadeau.",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
fr,en,d'accord j'essaie,"Ok, I'm trying.",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
fr,en,Ça ne fonctionne pas,It doesn't work.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
en,fr,Thank you so much,Merci beaucoup.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,"No to confirm, by any chance did you have your billing information updated?","Maintenant pour confirmer, est-ce que par hasard vous avez mis à jour vos informations de facturation ?",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,That would be in your account,Elles doivent se trouver dans votre compte.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
fr,en,je vais regarder,I will check.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
en,fr,Thank you so much,Merci beaucoup.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
fr,en,"non, je ne vois pas d'informations de facturation mises à jour","No, I don't see any updated billing info.",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
en,fr,"Thank you for the information, can you please verify if your billing information in you account is up to date",Merci pour les informations. Pouvez-vous s'il vous plaît vérifier si vos informations de facturation sur votre compte sont à jour ?,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,Go to #URL#.,Accédez à #URL#.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,Sign in to your #PRS_ORG# account.,Connectez-vous à votre compte #PRS_ORG#.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,Click My Account near the top of the page,Cliquez sur Mon compte près du haut de la page.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,Click Account Settings,Cliquez sur Paramètres du compte.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,Click the Click the Payment Information tab,Cliquez sur l'onglet Informations de paiement.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,"Enter your credit card details under Payment Information, then click Save.","Entrez les informations de votre carte de crédit sous Informations de paiement, puis cliquez sur Sauvegarder.",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,"Enter your billing information under Billing Address, then click Save.","Entrez vos informations de facturation sous Adresse de facturation, puis cliquez sur Sauvegarder.",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,Payment Information tab,Onglet Informations de paiement.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
fr,en,C'est fait,Done.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
en,fr,"Thank you so much, now please let's try again to redeem the card","Merci beaucoup, maintenant essayez à nouveau d'utiliser la carte.",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
fr,en,Ça ne fonctionne pas,It doesn't work.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
en,fr,"Thank you so much for the information, we are sorry your having this issue.","Merci beaucoup pour l'information, nous sommes désolés que vous rencontriez ce problème.",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,In order to help you can you please provide us a screenshot of the front and back of the gift card?,"Afin de vous aider, pouvez-vous s'il vous plaît nous fournir une capture d'écran du recto et du verso de la carte-cadeau ?",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
fr,en,oui un instant,"Yes, one moment.",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
en,fr,No problem!,Pas de problème !,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,please take you time,Veuillez prendre votre temps.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
fr,en,Visitor uploaded: #PHONENUMBER#.jpg,Visitor uploaded: #PHONENUMBER#.jpg,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
fr,en,URL: #URL#,Url: #URL#,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
fr,en,Type: image/jpeg,Type: Image/jpeg,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
fr,en,Size: #NUMBER#,Size: #NUMBER#,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
en,fr,Thank you so much,Merci beaucoup.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,one moment,Un instant.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,"Thank you so much for holding, it appears the gift card is Inactive, in this case you need to contact the store to activate your card","Merci beaucoup d'avoir patienté, il semble que la carte-cadeau soit inactive. Dans ce cas, vous devez contacter la boutique pour activer votre carte.",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
fr,en,"d'accord, merci beaucoup","All right, thank you very much.",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
en,fr,is there anything else i  can help you with?,Y a-t-il autre chose que je puisse faire pour vous aider ?,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
fr,en,non merci,"No, thanks.",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
fr,en,Bonne journée,Have a nice day.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
en,fr,"Thank you for contacting #PRS_ORG#, it was my pleasure to assist you today.","Merci d'avoir contacté #PRS_ORG#, ce fut un plaisir de vous aider aujourd'hui.",en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
en,fr,I hope you have an excellent day.,J'espère que vous passez une excellente journée.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,agent
fr,en,merci,Thank you.,en_fr_#CLIENT-02#_default020-12-20-55,#CLIENT-02#,customer
fr,en,Bonjour je viens d acheter une liseuse #PRS_ORG# et je n ai accès qu aux livres anglais et aux prix en dollars alors que je suis en France,"Hello, I just bought a #PRS_ORG# reader and I only have access to English books and prices in dollars, even though I'm in France.",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
fr,en,#EMAIL#,#EMAIL#,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
fr,en,Je n ai pas encore utilisé ni acheter un e book car je l ai reçu en cadeau de Noël,I haven't used or bought an e book yet because I received it as a Christmas gift.,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
fr,en,Je ne peux pas commander les prix sont indiques en dollars,"I cannot order, prices are in dollars.",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
en,fr,Thank you for the information.,Merci pour les informations.,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,I will be more than happy to assist you.,Nous nous ferons un plaisir de vous aider.,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,This probably be because your billing information is not updated,C'est probablement parce que vos informations de facturation ne sont pas mises à jour,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
fr,en,Que dois je faire ?,What should I do?,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
en,fr,To opdate your billing information,Pour annuler vos informations de facturation,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,1,1,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,Go to #URL#.,Accédez à #URL#.,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,2,2,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,Sign in to your #PRS_ORG# account.,Connectez-vous à votre compte #PRS_ORG#.,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,3,3,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,Click My Account near the top of the page,Cliquez sur Mon compte près du haut de la page,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,4,4,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,Click Account Settings,Cliquez sur Paramètres du compte.,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,5,5,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,Click the Payment Information tab,Cliquez sur l'onglet Informations de paiement,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,6,6,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,"Enter your credit card details under Payment Information, then click Save.","Entrez les informations de votre carte de crédit sous Informations de paiement, puis cliquez sur Sauvegarder.",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,7,7,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,"Enter your billing information under Billing Address, then click Save.","Entrez vos informations de facturation sous l'adresse de facturation, puis cliquez sur Sauvegarder.",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
fr,en,Je peux faire ça depuis mon smartphone ?,Can I do this from my smartphone?,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
en,fr,I think so but i don't know if the chat will close,"Je pense, mais je ne sais pas si le chat se fermera",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
fr,en,Je dois me connecter de mon ordinateur alors ?,I need to connect to my computer then?,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
fr,en,Ou de ma liseuse ?,Or my reader?,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
en,fr,"On your computer, unfortunately on the ereader this process can't be made","Sur votre ordinateur, malheureusement sur la liseuse ce processus ne peut pas être effectué",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
fr,en,OK merci.,Ok thank you.,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
fr,en,Autre soucis lorsque je recherche un titre sur le site #PRS_ORG# il ne le trouve pas.,"Also, when I search for a title on the #PRS_ORG# website, it can't be found.",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
fr,en,Ex : milles femmes blanches,Ex: Thousand white women,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
en,fr,Of course one moment let me search that for you,"Bien sûr, un instant laissez-moi rechercher cela pour vous",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,"It appears to me, so what it may happen here it could be for the same reqason","Il me semble, donc ce que cela peut arriver ici, c'est peut-être pour la même raison",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,"SO, what you need to do","Alors, ce que vous devez faire",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,"After you update your billing address try to sign out of your account on the  ereader, then sign in back, and finally sync to see if this can be the issue","Après avoir mis à jour votre adresse de facturation, essayez de vous déconnecter de votre compte sur la liseuse, puis reconnectez-vous et enfin synchronisez pour voir si cela peut être le problème",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
fr,en,À cause des infos de facturation ?,Because of the billing info?,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
fr,en,Pour le moment je n'ai pas pu trouver un seul titre !!!,"Right now, I can't find a single title!",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
fr,en,Autre exemple LA PANTHERE DES NEIGE la boutique ne connaît pas,"Another example ""LA PANTHERE DES NEIGE"", can't be found in the story.",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
en,fr,"Yes, and it is because you account doesn't have any address information  on your billing information ont the account","Oui, et c'est parce que votre compte n'a aucune information d'adresse sur vos informations de facturation sur le compte",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,You need to update your billing information in your account in order to see the books on store with the current language,Vous devez mettre à jour vos informations de facturation dans votre compte afin de voir les livres en boutique dans la langue actuelle.,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
fr,en,OK je vais suivre vos conseils et je vais voir.p,Ok I'm going to follow your advice and I'll see.,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
fr,en,Merci,Thank you.,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,customer
en,fr,Is there anything else I can help you with?,Y a-t-il autre chose que je puisse faire pour vous aider ?,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,"Thank you for contacting #PRS_ORG#, it was my pleasure to assist you today.","Merci d'avoir contacté #PRS_ORG#, j'ai eu le plaisir de vous aider aujourd'hui.",en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
en,fr,I hope you have an excellent day.,J'espère que vous passez une excellente journée !,en_fr_#CLIENT-02#_default020-12-20-2,#CLIENT-02#,agent
fr,en,"bonjour, je n'arrive pas à enregistrer ma carte de paiement pour mon premier achat en ligne.","Hello, I can't register my payment card for my first online purchase.",en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,customer
fr,en,Pouvez-vous m'aider?,Can you help me?,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,customer
en,fr,"Thank you for contacting #PRS_ORG#, can you please provide the email address of your #PRS_ORG# account?","Merci d'avoir contacté #PRS_ORG#, pouvez-vous s'il vous plaît fournir l'adresse email de votre compte #PRS_ORG# ?",en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
fr,en,je suis connectée avec un compte #PRS_ORG#,I am connected with an #PRS_ORG# account.,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,customer
fr,en,#EMAIL#,#EMAIL#,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,customer
en,fr,"For security purposes, can you please confirm either the date of your most recent purchase or the title of one of the ebooks/audiobooks in your account?","Pour des raisons de sécurité, pouvez-vous confirmer la date de votre achat le plus récent ou le titre de l'un des eBooks / livres audio sur votre compte ?",en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
fr,en,je n'ai pas encore fait d'achat.,I haven't made a purchase yet.,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,customer
fr,en,"Dans mon panier, il y a ""the truth about the Harry Quebert Affair""","In my basket, I have ""The truth about the Harry Quebert Affair""",en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,customer
en,fr,clean the cache memory from your browser and then,Nettoyer la mémoire cache de votre navigateur puis,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,To update your payment information please follow these steps:,"Pour mettre à jour vos informations de paiement, veuillez suivre ces étapes :",en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,1,1,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,Go to #URL#.,Accédez à #URL#.,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,2,2,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,Log in to your #PRS_ORG# account.,Connectez-vous à votre compte #PRS_ORG#.,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,3,3,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,"Click on ""My Account"" and in the menu select ""Account Settings”","Cliquez sur « Mon compte » et dans le menu, sélectionnez « Paramètres du compte. »",en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,4,4,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,Select the “Payment Information” tab.,Sélectionnez l'onglet Informations de paiement.,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,5,5,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,"Under “Payment Information”, select the type of credit card and enter your card number, security code (CVV), name on the card, and expiration date.","Sous « Informations de paiement », sélectionnez le type de carte de crédit et entrez votre numéro de carte, votre code de sécurité (CVV), votre nom sur la carte et votre date d'expiration.",en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,6,6,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,"Click ""Save”",Cliquez sur « Enregistrer. »,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
fr,en,c'est bon merci.,Thank you.,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,customer
fr,en,Je suis obligée de passer par l'application pour récuperer mon achat?,I am forced to go through the app to collect my purchase?,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,customer
en,fr,no,non,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,you can download the files,Vous pouvez télécharger les fichiers,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,most of them,La plupart d'entre eux,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,"To get the #PRS_ORG# file please go to #URL# > sign in > click on my account > my books > select title and click on 3 dots, then download the file.","Pour obtenir le fichier #PRS_ORG#, rendez-vous sur #URL# &gt; connectez-vous &gt; cliquez sur mon compte &gt; mes livres &gt; sélectionnez le titre et cliquez sur 3 points, puis téléchargez le fichier.",en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,however many of them are protected by #PRS_ORG# and you will get a .#PRS_ORG# files,"Cependant, beaucoup d'entre eux sont protégés par #PRS_ORG# et vous obtiendrez des fichiers .#PRS_ORG#",en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,that can be opened with #PRS_ORG#,Qui peut être ouvert avec #PRS_ORG#,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
fr,en,"mais une fois téléchargés, je peux les synchroniser sur la #PRS_ORG# sans problème?","But once downloaded, can I sync them to the #PRS_ORG# without any problems?",en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,customer
en,fr,no need to download the file to sync the ebook into the #PRS_ORG# ereader,Pas besoin de télécharger le fichier pour synchroniser l'eBook dans la liseuse #PRS_ORG#,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
en,fr,which ereader model do you have?,Quel modèle de liseuse avez-vous ?,en_fr_#CLIENT-02#_default020-12-27-10,#CLIENT-02#,agent
