doc_id,content_type,source_language,target_language,client,brand,tone,source_segment,mt_segment,pe_segment,translation_direction
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,L'ordinateur est autorisé et la liseuse aussi,The computer is allowed and the reader also,The computer has the permissions and so does the reader.,customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Exactly what does the message read?,"Exactement, que lisez-vous le message ?",Que dit exactement le message ?,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Que le livre est protégé par les #PRS_ORG# et que je dois autoriser; ce que ça fait au moins 15 fois que je fais, défait et refait.","That the book is protected by #PRS_ORG# and that I have to allow; what it does at least 15 times I do, defeated and redone.",That the book is protected by #PRS_ORG# and that I have to allow it; that I've done it at least 15 times.,customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,J'ai suivi toutes les consignes indiquées ici et ça ne fonctionne pas : #URL#,I have followed all the instructions given here and it does not work: #URL#,I followed all the instructions mentioned here and it does not work: #URL#,customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Are you using a #PRS_ORG# or PC?,Utilisez-vous un #PRS_ORG# ou un PC ?,Utilisez-vous un #PRS_ORG# ou un PC ?,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,PC,Pc,PC,customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Which version #PRS_ORG#,Quelle version #PRS_ORG#,Quelle version de #PRS_ORG# ?,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,4.5,4.5,4.5,customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Please follow the instructions below,",Veuillez suivre les instructions ci-dessous.,Veuillez suivre les instructions ci-dessous.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,1) Delete/Remove your book file from the e-reader and #PRS_ORG#.,1) Supprimez/supprimez votre fichier livre du lecteur électronique et de l'#PRS_ORG#.,1) Supprimez/retirez le fichier de votre livre de la liseuse et de #PRS_ORG#.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,2) Uninstall your version #PRS_ORG# and install v3 (link here #PRS_ORG# downloads ),2) Désinstallez votre version #PRS_ORG# et installez v3 (lien ici #PRS_ORG# téléchargements),2) Désinstallez votre version de #PRS_ORG# et installez la v3 (lien ici #PRS_ORG# téléchargements),agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,2) Open version 3.,2) Version ouverte 3.,2) Ouvrez la version 3.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,3) Your authorization will carry over into version 3.,3) Votre autorisation reviendra à la version 3.,3) Votre autorisation sera transférée à la version 3.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Deauthorize your computer from #PRS_ORG#.,Autorisez votre ordinateur à partir de #PRS_ORG#.,Autorisez votre ordinateur à partir de #PRS_ORG#.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Press Control-Shift-D (#PRS_ORG#) or Shift-Command-D (#PRS_ORG#) to deauthorize.,Appuyez sur Contrôle-Shift-D (#PRS_ORG#) ou Shift-Command-D (#PRS_ORG#) pour autoriser.,Appuyez sur Contrôle-Shift-D (#PRS_ORG#) ou Shift-Command-D (#PRS_ORG#) pour autoriser.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,4) Deauthorize e-reader in #PRS_ORG# v3,4) Déautorisez le lecteur électronique dans #PRS_ORG# v3,4) Déautorisez la liseuse dans #PRS_ORG# v3.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,5) (re) Authorize your computer in #PRS_ORG#.,5) (re) Autoriser votre ordinateur dans #PRS_ORG#.,5) (Ré)autorisez votre ordinateur dans #PRS_ORG#.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,6) (re) Authorize your e-reader in #PRS_ORG#,6) (re) Autoriser votre e-lecteur dans #PRS_ORG#.,6) (Ré)autorisez votre liseuse dans #PRS_ORG#.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,GET THE BOOK,Obtenez LE LIVRE,Obtenez le livre.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,7) Go back to your library website and download the book file again.,7) Retournez sur le site Web de votre bibliothèque et téléchargez à nouveau le fichier du livre.,7) Retournez sur le site web de votre bibliothèque et téléchargez à nouveau le fichier du livre.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,8) Add your book to #PRS_ORG#.,8) Ajoutez votre livre à #PRS_ORG#.,8) Ajoutez votre livre à #PRS_ORG#.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Go to #PRS_ORG# > File > Add to Library.,Allez à #PRS_ORG# > Fichier > Ajouter à la bibliothèque.,Allez à #PRS_ORG# &gt; Fichier &gt; Ajouter à la bibliothèque.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Add your book to your #PRS_ORG# library.,Ajoutez votre livre à votre bibliothèque #PRS_ORG#.,Ajoutez votre livre à votre bibliothèque #PRS_ORG#.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,9) Copybook from #PRS_ORG# to the e-reader.,9) copybook d'#PRS_ORG# à la liseuse.,9) Copiez le livre de #PRS_ORG# à la liseuse.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Right-click > copy to the device.,Cliquez avec le bouton droit > copiez-le sur l'appareil.,Cliquez avec le bouton droit &gt; copier sur l'appareil.,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,> Check that you can read open the book in while in #PRS_ORG# > your e-reader,> Vérifiez que vous pouvez lire le livre ouvert pendant qu'il est dans #PRS_ORG# > votre e-lecteur.,&gt; Vérifiez que vous pouvez lire le livre en l'ouvrant dans #PRS_ORG# &gt; votre liseuse,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,3.00 link here,"3, 00 lien ici",3.00 lien ici,agent
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,D'accord.,Okay.,Okay.,customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Merci.,Thank you.,Thank you.,customer
en_fr_#CLIENT-02#_default020-12-20-35,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,You are welcome.,Je vous en prie.,Je vous en prie.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Bonjour, j'essaie d'échanger ma carte-cadeau et ça écrit Oups, réessayez plus tard.","Hello, I try to exchange my gift card and it writes Oops, try again later.","Hello, I'm trying to redeem my gift card and it says ""Oops, try again later"".",customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,#EMAIL#,#EMAIL#,#EMAIL#,customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,How to Cook everything,How to Cook everything,How to Cook everything,customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Thank you for the information.,Merci pour l'information.,Merci pour ces informations.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,I will be more than happy to assist you.,Je serai ravi de vous aider.,Je serai ravi de vous aider.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"J'essaie d'échanger ma carte cadeau mais ça ne fonctionne pas, ça écrit Oups, réessayez plus tard","I try to exchange my gift card but it doesn't work, it writes Oops, try again later","I'm trying to redeem my gift card but it doesn't work, it says ""Oops, try again later"".",customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Thank you, in order to help you can you please sign in in your account in a incognito mode ?","Merci, afin de vous aider, pouvez-vous vous connecter à votre compte en mode navigation privée ?","Merci. Afin de vous aider, pouvez-vous vous connecter à votre compte en mode de navigation privée ?",agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,it would be private mode in #PRS_ORG#,Ce serait en mode privé dans #PRS_ORG#,il s'agirait d'un mode privé dans #PRS_ORG#.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,ok,Ok,Ok.,customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Thank you so much,Merci beaucoup.,Merci beaucoup.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,c'est fait,It is done,Done.,customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Thank you, now please sign in with your account on the #PRS_ORG# and try to redeem the gift card","Merci, connectez-vous maintenant avec votre compte sur la boutique #PRS_ORG# et essayez d'utiliser la carte-cadeau.","Merci, connectez-vous maintenant avec votre compte sur #PRS_ORG# et essayez d'utiliser la carte-cadeau.",agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,d'accord j'essaie,All right I try,"Ok, I'm trying.",customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Ça ne fonctionne pas,It doesn't work,It doesn't work.,customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Thank you so much,Merci beaucoup.,Merci beaucoup.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"No to confirm, by any chance did you have your billing information updated?","Non pour confirmer, avez-vous eu par hasard des informations de facturation mises à jour ?","Maintenant pour confirmer, est-ce que par hasard vous avez mis à jour vos informations de facturation ?",agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,That would be in your account,Ce serait dans votre compte,Elles doivent se trouver dans votre compte.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,je vais regarder,I will look,I will check.,customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Thank you so much,Merci beaucoup.,Merci beaucoup.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"non, je ne vois pas d'informations de facturation mises à jour","No, I don't see updated billing information","No, I don't see any updated billing info.",customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Thank you for the information, can you please verify if your billing information in you account is up to date","Merci pour les informations, pouvez-vous s'il vous plaît vérifier si vos informations de facturation sur votre compte sont à jour",Merci pour les informations. Pouvez-vous s'il vous plaît vérifier si vos informations de facturation sur votre compte sont à jour ?,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Go to #URL#.,Accédez à #URL#.,Accédez à #URL#.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Sign in to your #PRS_ORG# account.,Connectez-vous à votre compte #PRS_ORG#.,Connectez-vous à votre compte #PRS_ORG#.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Click My Account near the top of the page,Cliquez sur Mon compte près du haut de la page,Cliquez sur Mon compte près du haut de la page.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Click Account Settings,Cliquez sur Paramètres du compte.,Cliquez sur Paramètres du compte.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Click the Click the Payment Information tab,Cliquez sur l'onglet Informations de paiement,Cliquez sur l'onglet Informations de paiement.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Enter your credit card details under Payment Information, then click Save.","Entrez les détails de votre carte de crédit sous Informations de paiement, puis cliquez sur Sauvegarder.","Entrez les informations de votre carte de crédit sous Informations de paiement, puis cliquez sur Sauvegarder.",agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Enter your billing information under Billing Address, then click Save.","Entrez vos informations de facturation sous l'adresse de facturation, puis cliquez sur Sauvegarder.","Entrez vos informations de facturation sous Adresse de facturation, puis cliquez sur Sauvegarder.",agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Payment Information tab,Onglet Informations de paiement,Onglet Informations de paiement.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,C'est fait,It is done.,Done.,customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Thank you so much, now please let's try again to redeem the card","Merci beaucoup, maintenant essayons à nouveau d'utiliser la carte","Merci beaucoup, maintenant essayez à nouveau d'utiliser la carte.",agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Ça ne fonctionne pas,It doesn't work,It doesn't work.,customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Thank you so much for the information, we are sorry your having this issue.","Merci beaucoup pour l'information, nous sommes désolés que vous rencontriez ce problème.","Merci beaucoup pour l'information, nous sommes désolés que vous rencontriez ce problème.",agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,In order to help you can you please provide us a screenshot of the front and back of the gift card?,"Afin de vous aider, pouvez-vous s'il vous plaît nous fournir une capture d'écran du recto et du verso de la carte-cadeau ?","Afin de vous aider, pouvez-vous s'il vous plaît nous fournir une capture d'écran du recto et du verso de la carte-cadeau ?",agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,oui un instant,Yes a moment,"Yes, one moment.",customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,No problem!,Pas de problème !,Pas de problème !,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,please take you time,Veuillez prendre votre temps,Veuillez prendre votre temps.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Visitor uploaded: #PHONENUMBER#.jpg,Visitor uploaded: #PHONENUMBER#.jpg,Visitor uploaded: #PHONENUMBER#.jpg,customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,URL: #URL#,Url: #URL#,Url: #URL#,customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Type: image/jpeg,Type: Image/jpeg,Type: Image/jpeg,customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Size: #NUMBER#,Size: #NUMBER#,Size: #NUMBER#,customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Thank you so much,Merci beaucoup.,Merci beaucoup.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,one moment,un moment,Un instant.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Thank you so much for holding, it appears the gift card is Inactive, in this case you need to contact the store to activate your card","Merci beaucoup d'avoir tenu, il semble que la carte-cadeau soit inactive, dans ce cas, vous devez contacter le magasin pour activer votre carte","Merci beaucoup d'avoir patienté, il semble que la carte-cadeau soit inactive. Dans ce cas, vous devez contacter la boutique pour activer votre carte.",agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"d'accord, merci beaucoup","All right, thank you very much","All right, thank you very much.",customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,is there anything else i  can help you with?,Y a-t-il autre chose que je puisse faire pour vous aider ?,Y a-t-il autre chose que je puisse faire pour vous aider ?,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,non merci,No thanks,"No, thanks.",customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Bonne journée,Have a nice day,Have a nice day.,customer
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,"Thank you for contacting #PRS_ORG#, it was my pleasure to assist you today.","Merci d'avoir contacté #PRS_ORG#, j'ai eu le plaisir de vous aider aujourd'hui.","Merci d'avoir contacté #PRS_ORG#, ce fut un plaisir de vous aider aujourd'hui.",agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,I hope you have an excellent day.,J'espère que vous passez une excellente journée !,J'espère que vous passez une excellente journée.,agent
en_fr_#CLIENT-02#_default020-12-20-55,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,merci,thank you,Thank you.,customer
en_fr_#CLIENT-02#_default020-12-20-2,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Bonjour je viens d acheter une liseuse #PRS_ORG# et je n ai accès qu aux livres anglais et aux prix en dollars alors que je suis en France,Hello I just bought a #PRS_ORG# reader and I only have access to English books and prices in dollars while I am in France,"Hello, I just bought a #PRS_ORG# reader and I only have access to English books and prices in dollars, even though I'm in France.",customer
en_fr_#CLIENT-02#_default020-12-20-2,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,#EMAIL#,#EMAIL#,#EMAIL#,customer
en_fr_#CLIENT-02#_default020-12-20-2,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Je n ai pas encore utilisé ni acheter un e book car je l ai reçu en cadeau de Noël,I haven't used or bought an e book yet because I received it as a Christmas gift,I haven't used or bought an e book yet because I received it as a Christmas gift.,customer
en_fr_#CLIENT-02#_default020-12-20-2,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Je ne peux pas commander les prix sont indiques en dollars,I cannot order prices are indicated in dollars,"I cannot order, prices are in dollars.",customer
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Thank you for the information.,Merci pour l'information.,Merci pour les informations.,agent
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,I will be more than happy to assist you.,Je serai ravi de vous aider.,Nous nous ferons un plaisir de vous aider.,agent
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,This probably be because your billing information is not updated,C'est probablement parce que vos informations de facturation ne sont pas mises à jour,C'est probablement parce que vos informations de facturation ne sont pas mises à jour,agent
en_fr_#CLIENT-02#_default020-12-20-2,chat,fr,en,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Que dois je faire ?,What should I do?,What should I do?,customer
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,To opdate your billing information,Pour annuler vos informations de facturation,Pour annuler vos informations de facturation,agent
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,1,1,1,agent
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Go to #URL#.,Accédez à #URL#.,Accédez à #URL#.,agent
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,2,2,2,agent
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Sign in to your #PRS_ORG# account.,Connectez-vous à votre compte #PRS_ORG#.,Connectez-vous à votre compte #PRS_ORG#.,agent
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,3,3,3,agent
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Click My Account near the top of the page,Cliquez sur Mon compte près du haut de la page,Cliquez sur Mon compte près du haut de la page,agent
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,4,4,4,agent
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Click Account Settings,Cliquez sur Paramètres du compte.,Cliquez sur Paramètres du compte.,agent
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,5,5,5,agent
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,Click the Payment Information tab,Cliquez sur l'onglet « Informations de paiement ».,Cliquez sur l'onglet Informations de paiement,agent
en_fr_#CLIENT-02#_default020-12-20-2,chat,en,fr,#CLIENT-02#,default-brand-of-#CLIENT-02#,formal,6,6,6,agent
